 Value : LBrace , Data : LBrace
 Value : "numbers" , Data : String
 Value : : , Data : Assign
 Value : LBracket , Data : LBracket
 Value : 1 , Data : Number
 Value : Comma , Data : Comma
 Value : 2 , Data : Number
 Value : Comma , Data : Comma
 Value : 3 , Data : Number
 Value : Comma , Data : Comma
 Value : 4 , Data : Number
 Value : Comma , Data : Comma
 Value : 5 , Data : Number
 Value : RBracket , Data : RBracket
 Value : Comma , Data : Comma
 Value : "even" , Data : String
 Value : : , Data : Assign
 Value : true , Data : Boolean
 Value : RBrace , Data : RBrace
